Brunswick High School — Defensive Breakdown (SYNTHETIC SAMPLE — not real film)
PLAY #,ODK,QTR,DN,DIST,HASH,YARD LN,OFF FORM,OFF PLAY,PLAY TYPE,GN/LS,DEF FRONT,COVERAGE,BLITZ,RESULT
19,O,1,1,10,R,-12,Gun Empty,Sweep Rt,Pass,12,4-3 Over,Cover 3,Y,1st Down
20,O,3,1,10,L,+36,Gun Spread,Counter Lt,Run,2,4-3 Under,Cover 3,,Tackle
21,O,2,1,10,M,+19,Singleback,Counter Lt,Pass,3,Bear,Cover 3,,Tackle
22,O,1,2,1,R,+35,I-Form,Four Verts,Pass,2,4-3 Over,Cover 4,,1st Down
23,O,3,2,8,R,-7,I-Form,Inside Zone,Pass,11,4-3 Over,Cover 2,,1st Down
24,O,4,2,5,R,+17,Gun Trips Rt,Stick,Run,1,Bear,Cover 3,,Tackle
25,O,1,3,13,L,-17,Gun Empty,Stick,Pass,8,4-3 Under,Cover 2,Y,Tackle
26,O,2,3,9,R,+19,Gun Trips Rt,Mesh,Run,8,4-3 Over,Cover 1,,Tackle
27,O,4,1,10,M,+34,I-Form,Four Verts,Pass,-3,4-3 Under,Cover 3,,Tackle
28,O,3,3,2,L,+21,Gun Trips Rt,Counter Lt,Run,-1,4-3 Over,Cover 0,Y,Tackle
29,O,2,2,9,M,-32,Gun Trips Rt,Smash,Run,-3,Bear,Cover 2,,Tackle
30,O,4,3,3,M,+42,Gun Trips Rt,Four Verts,Run,13,4-3 Over,Cover 1,,TD
31,O,3,1,10,R,+29,Singleback,Four Verts,Run,13,4-3 Under,Cover 3,,TD
32,O,1,3,9,M,-43,Gun Empty,Inside Zone,Run,14,4-3 Under,Cover 3,Y,TD
33,O,1,2,7,R,-9,Singleback,Sweep Rt,Pass,12,Bear,Cover 2,,1st Down
34,O,3,1,10,M,-17,Gun Empty,Inside Zone,Run,12,4-3 Under,Cover 2,,1st Down
35,O,3,2,1,L,+20,Singleback,Sweep Rt,Run,6,4-3 Over,Cover 3,,1st Down
36,O,4,2,9,R,-29,Gun Empty,Smash,Run,13,4-3 Over,Cover 2,,TD
37,O,2,2,4,R,+16,I-Form,Counter Lt,Run,1,4-3 Over,Cover 4,,Tackle
38,O,2,1,10,L,-21,Gun Empty,Power Rt,Run,4,Nickel Over,Cover 3,,Tackle
39,O,1,2,3,L,-41,I-Form,Counter Lt,Pass,-3,4-3 Under,Cover 3,,Tackle
40,O,4,2,6,R,-6,Gun Trips Rt,Sweep Rt,Pass,-1,Nickel Over,Cover 3,,Tackle
41,O,1,1,10,L,-34,Gun Trips Rt,Power Rt,Pass,0,Nickel Over,Cover 3,,Tackle
42,O,2,2,6,M,-31,Gun Empty,Counter Lt,Run,-2,4-3 Over,Cover 1,,Tackle
43,O,1,3,11,L,+41,Singleback,Four Verts,Pass,7,4-3 Over,Cover 2,,Tackle
44,O,4,3,5,M,-26,Singleback,Counter Lt,Pass,2,Nickel Over,Cover 3,,Tackle
45,O,3,1,10,L,+11,Gun Trips Rt,Counter Lt,Run,7,Bear,Cover 2,,Tackle
46,O,2,1,10,M,+41,Gun Spread,Power Rt,Pass,7,Nickel Over,Cover 3,,Tackle
47,O,2,2,2,M,+33,Gun Empty,Inside Zone,Run,0,Nickel Over,Cover 1,,Tackle
48,O,4,1,10,L,-45,Gun Empty,Power Rt,Run,7,4-3 Over,Cover 3,,Tackle
49,O,2,3,1,M,+39,Singleback,Inside Zone,Run,12,Nickel Over,Cover 1,,1st Down
50,O,4,2,9,M,+40,I-Form,Stick,Run,6,4-3 Under,Cover 3,,Tackle
51,O,1,1,10,L,+30,Gun Trips Rt,Counter Lt,Run,9,4-3 Under,Cover 3,,Tackle
52,O,1,2,8,M,+14,Gun Spread,Power Rt,Run,13,Nickel Over,Cover 3,,TD
53,O,4,2,4,L,-31,Gun Empty,Stick,Run,8,4-3 Under,Cover 1,,1st Down
54,O,2,1,10,R,-35,Gun Trips Rt,Stick,Pass,6,4-3 Under,Cover 4,,Tackle
55,O,3,3,5,M,-17,Gun Spread,Four Verts,Pass,3,4-3 Under,Cover 3,Y,Tackle
56,O,1,2,1,M,-39,I-Form,Power Rt,Run,-2,4-3 Over,Cover 1,,Tackle
57,O,3,1,10,L,-26,I-Form,Sweep Rt,Run,12,4-3 Under,Cover 1,Y,1st Down
58,O,4,3,8,R,+29,Gun Spread,Counter Lt,Pass,11,Nickel Over,Cover 2,,1st Down
59,O,4,1,10,R,+42,Gun Trips Rt,Sweep Rt,Pass,2,Bear,Cover 4,Y,Tackle
60,O,3,2,7,R,-9,I-Form,Four Verts,Pass,11,4-3 Under,Cover 0,,1st Down
61,O,3,1,10,M,-19,I-Form,Counter Lt,Pass,7,4-3 Under,Cover 3,,Tackle
62,O,4,1,10,M,+34,I-Form,Four Verts,Pass,5,4-3 Under,Cover 3,,Tackle
63,O,4,3,4,L,+17,Singleback,Counter Lt,Run,8,4-3 Under,Cover 3,,1st Down
64,O,3,1,10,R,-19,Singleback,Inside Zone,Run,11,4-3 Under,Cover 3,,1st Down
65,O,3,1,10,L,-26,Gun Trips Rt,Stick,Pass,-1,4-3 Under,Cover 1,,Tackle
66,O,2,1,10,R,-36,Singleback,Counter Lt,Run,10,4-3 Under,Cover 4,,1st Down
67,O,1,1,10,M,-31,I-Form,Inside Zone,Run,14,Bear,Cover 4,Y,TD
68,O,1,3,9,R,+31,Gun Spread,Four Verts,Run,-3,4-3 Over,Cover 0,,Tackle
69,O,3,1,10,L,+8,Gun Empty,Stick,Run,13,4-3 Under,Cover 1,,TD
70,O,1,2,3,L,+11,Gun Spread,Smash,Run,12,Bear,Cover 3,,1st Down
71,O,2,1,10,R,+30,Gun Spread,Stick,Run,11,4-3 Under,Cover 1,,1st Down
72,O,1,2,5,M,+19,Gun Empty,Inside Zone,Pass,7,Nickel Over,Cover 3,,1st Down
73,O,2,3,7,R,-35,I-Form,Sweep Rt,Pass,-2,Bear,Cover 0,,Tackle
74,O,2,2,3,M,+38,Singleback,Inside Zone,Run,5,4-3 Over,Cover 3,,1st Down
75,O,1,1,10,L,+22,Singleback,Power Rt,Pass,1,Bear,Cover 4,,Tackle
76,O,4,2,11,R,-10,Gun Empty,Four Verts,Run,3,Nickel Over,Cover 3,,Tackle
77,O,3,2,3,M,+9,I-Form,Power Rt,Run,14,4-3 Over,Cover 1,Y,TD
78,O,4,2,13,M,-29,Gun Empty,Four Verts,Pass,0,Bear,Cover 3,,Tackle
